,location,date,total_cases,new_cases
121486,India,2020-01-03,,0.0
121487,India,2020-01-04,,0.0
121488,India,2020-01-05,,0.0
121489,India,2020-01-06,,0.0
121490,India,2020-01-07,,0.0
121491,India,2020-01-08,,0.0
121492,India,2020-01-09,,0.0
121493,India,2020-01-10,,0.0
121494,India,2020-01-11,,0.0
121495,India,2020-01-12,,0.0
121496,India,2020-01-13,,0.0
121497,India,2020-01-14,,0.0
121498,India,2020-01-15,,0.0
121499,India,2020-01-16,,0.0
121500,India,2020-01-17,,0.0
121501,India,2020-01-18,,0.0
121502,India,2020-01-19,,0.0
121503,India,2020-01-20,,0.0
121504,India,2020-01-21,,0.0
121505,India,2020-01-22,,0.0
121506,India,2020-01-23,,0.0
121507,India,2020-01-24,,0.0
121508,India,2020-01-25,,0.0
121509,India,2020-01-26,,0.0
121510,India,2020-01-27,,0.0
121511,India,2020-01-28,,0.0
121512,India,2020-01-29,,0.0
121513,India,2020-01-30,1.0,1.0
121514,India,2020-01-31,5.0,4.0
121515,India,2020-02-01,5.0,0.0
121516,India,2020-02-02,2.0,
121517,India,2020-02-03,3.0,1.0
121518,India,2020-02-04,7.0,4.0
121519,India,2020-02-05,7.0,0.0
121520,India,2020-02-06,7.0,0.0
121521,India,2020-02-07,7.0,0.0
121522,India,2020-02-08,7.0,0.0
121523,India,2020-02-09,7.0,0.0
121524,India,2020-02-10,7.0,0.0
121525,India,2020-02-11,7.0,0.0
121526,India,2020-02-12,7.0,0.0
121527,India,2020-02-13,7.0,0.0
121528,India,2020-02-14,7.0,0.0
121529,India,2020-02-15,7.0,0.0
121530,India,2020-02-16,7.0,0.0
121531,India,2020-02-17,7.0,0.0
121532,India,2020-02-18,7.0,0.0
121533,India,2020-02-19,7.0,0.0
121534,India,2020-02-20,7.0,0.0
121535,India,2020-02-21,7.0,0.0
121536,India,2020-02-22,7.0,0.0
121537,India,2020-02-23,7.0,0.0
121538,India,2020-02-24,7.0,0.0
121539,India,2020-02-25,7.0,0.0
121540,India,2020-02-26,7.0,0.0
121541,India,2020-02-27,7.0,0.0
121542,India,2020-02-28,7.0,0.0
121543,India,2020-02-29,7.0,0.0
121544,India,2020-03-01,7.0,0.0
121545,India,2020-03-02,5.0,
121546,India,2020-03-03,9.0,4.0
121547,India,2020-03-04,28.0,19.0
121548,India,2020-03-05,29.0,1.0
121549,India,2020-03-06,31.0,2.0
121550,India,2020-03-07,34.0,3.0
121551,India,2020-03-08,39.0,5.0
121552,India,2020-03-09,44.0,5.0
